,media,mediana,desvio_padrao,minimo,maximo,Q1_(25%),Q3_(75%),pct_ausentes
Humidity3pm,51.5391,52.0,20.7959,0.0,100.0,37.0,66.0,3.1
Pressure3pm,1015.2559,1015.2,7.0374,977.1,1039.6,1010.4,1020.0,10.33
Temp3pm,21.6834,21.1,6.9367,-5.4,46.7,16.6,26.4,2.48
Rainfall,2.3609,0.0,8.4781,0.0,371.0,0.0,0.8,2.24
WindGustSpeed,40.0352,39.0,13.6071,6.0,135.0,31.0,48.0,7.06
Cloud3pm,4.5099,5.0,2.7204,0.0,9.0,2.0,7.0,40.81
Humidity9am,68.8808,70.0,19.0292,0.0,100.0,57.0,83.0,1.82
Pressure9am,1017.6499,1017.6,7.1065,980.5,1041.0,1012.9,1022.4,10.36
Temp9am,16.9906,16.7,6.4888,-7.2,40.2,12.3,21.6,1.21
MinTemp,12.194,12.0,6.3985,-8.5,33.9,7.6,16.9,1.02
MaxTemp,23.2213,22.6,7.119,-4.8,48.1,17.9,28.2,0.87
WindSpeed3pm,18.6627,19.0,8.8098,0.0,87.0,13.0,24.0,2.11
WindSpeed9am,14.0434,13.0,8.9154,0.0,130.0,7.0,19.0,1.21
Sunshine,7.6112,8.4,3.7855,0.0,14.5,4.8,10.6,48.01
Evaporation,5.4682,4.8,4.1937,0.0,145.0,2.6,7.4,43.17
Cloud9am,4.4475,5.0,2.8872,0.0,9.0,1.0,7.0,38.42
