variavel,Q1,Q3,IQR,limite_inferior,limite_superior,n_outliers,pct_outliers
Rainfall,0.0,0.8,0.8,-1.2,2.0,25578,17.99
Evaporation,2.6,7.4,4.8,-4.6,14.6,1995,2.41
WindGustSpeed,31.0,48.0,17.0,5.5,73.5,3092,2.29
WindSpeed3pm,13.0,24.0,11.0,-3.5,40.5,2523,1.77
WindSpeed9am,7.0,19.0,12.0,-11.0,37.0,1817,1.26
Humidity9am,57.0,83.0,26.0,18.0,122.0,1425,1.0
Pressure9am,1012.9,1022.4,9.5,998.65,1036.65,1191,0.91
Pressure3pm,1010.4,1020.0,9.6,996.0,1034.4,919,0.7
Temp3pm,16.6,26.4,9.8,1.9,41.1,764,0.54
MaxTemp,17.9,28.2,10.3,2.45,43.65,489,0.34
Temp9am,12.3,21.6,9.3,-1.65,35.55,262,0.18
MinTemp,7.6,16.9,9.3,-6.35,30.85,54,0.04
Cloud3pm,2.0,7.0,5.0,-5.5,14.5,0,0.0
Humidity3pm,37.0,66.0,29.0,-6.5,109.5,0,0.0
Sunshine,4.8,10.6,5.8,-3.9,19.3,0,0.0
Cloud9am,1.0,7.0,6.0,-8.0,16.0,0,0.0
